Program,Category,CPT® Code,CPT® Code Description,"Commercial Prior
Authorization
Required?","Commercial Case Build
Platform",External Notation,source_file
Other Services,"Experimental /
Investigational",G0555,"Provision of replacement patient electronics system (e.g., system pillow, handheld reader) for home pulmonary artery
pressure monitoring",Yes,CareCore National,,Table_table_8.csv
Other Services,"Experimental /
Investigational",0808T,"Pulmonary tissue ventilation analysis using software-based processing of data from separately captured cinefluorograph
images; in combination with computed tomography (CT) images taken for the purpose of pulmonary tissue ventilation
analysis, including data preparation and transmission, quantification of pulmonary tissue ventilation, data review,
interpretation and report",Yes,CareCore National,,Table_table_8.csv
Other Services,"Experimental /
Investigational",0807T,"Pulmonary tissue ventilation analysis using software-based processing of data from separately captured cinefluorograph
images; in combination with previously acquired computed tomography (CT) images, including data preparation and
transmission, quantification of pulmonary tissue ventilation, data review, interpretation and report",Yes,CareCore National,,Table_table_8.csv
Other Services,"Experimental /
Investigational",Q4196,"Puraply am, per square centimeter (add-on, list separately in addition to primary procedure)",Add On,CareCore National,,Table_table_8.csv
Other Services,"Experimental /
Investigational",Q4195,"Puraply, per square centimeter (add-on, list separately in addition to primary procedure)",Add On,CareCore National,,Table_table_8.csv
Other Services,Potentially Cosmetic,21146,"Reconstruction midface, LeFort I; 2 pieces, segment movement in any direction, requiring bone grafts (includes obtaining
autografts) (eg, ungrafted unilateral alveolar cleft)",Yes,CareCore National,,Table_table_8.csv
Other Services,Potentially Cosmetic,21142,"Reconstruction midface, LeFort I; 2 pieces, segment movement in any direction, without bone graft",Yes,CareCore National,,Table_table_8.csv
Other Services,Potentially Cosmetic,21147,"Reconstruction midface, LeFort I; 3 or more pieces, segment movement in any direction, requiring bone grafts (includes
obtaining autografts) (eg, ungrafted bilateral alveolar cleft or multiple osteotomies)",Yes,CareCore National,,Table_table_8.csv
Other Services,Potentially Cosmetic,21143,"Reconstruction midface, LeFort I; 3 or more pieces, segment movement in any direction, without bone graft",Yes,CareCore National,,Table_table_8.csv
Other Services,Potentially Cosmetic,21141,"Reconstruction midface, LeFort I; single piece, segment movement in any direction (eg, for Long Face Syndrome), without
bone graft",Yes,CareCore National,,Table_table_8.csv
Other Services,Potentially Cosmetic,21145,"Reconstruction midface, LeFort I; single piece, segment movement in any direction, requiring bone grafts (includes obtaining
autografts)",Yes,CareCore National,,Table_table_8.csv
Other Services,Potentially Cosmetic,21150,"Reconstruction midface, LeFort II; anterior intrusion (eg, Treacher-Collins Syndrome)",Yes,CareCore National,,Table_table_8.csv
Other Services,Potentially Cosmetic,21151,"Reconstruction midface, LeFort II; any direction, requiring bone grafts (includes obtaining autografts)",Yes,CareCore National,,Table_table_8.csv
Other Services,Potentially Cosmetic,21160,"Reconstruction midface, LeFort III (extra and intracranial) with forehead advancement (eg, mono bloc), requiring bone grafts
(includes obtaining autografts); with LeFort I",Yes,CareCore National,,Table_table_8.csv
Other Services,Potentially Cosmetic,21159,"Reconstruction midface, LeFort III (extra and intracranial) with forehead advancement (eg, mono bloc), requiring bone grafts
(includes obtaining autografts); without LeFort I",Yes,CareCore National,,Table_table_9.csv
Other Services,Potentially Cosmetic,21155,"Reconstruction midface, LeFort III (extracranial), any type, requiring bone grafts (includes obtaining autografts); with LeFort I",Yes,CareCore National,,Table_table_9.csv
Other Services,Potentially Cosmetic,21154,"Reconstruction midface, LeFort III (extracranial), any type, requiring bone grafts (includes obtaining autografts); without
LeFort I",Yes,CareCore National,,Table_table_9.csv
Other Services,Potentially Cosmetic,21188,"Reconstruction midface, osteotomies (other than LeFort type) and bone grafts (includes obtaining autografts)",Yes,CareCore National,,Table_table_9.csv
Other Services,Outpatient Surgery,21249,"Reconstruction of mandible or maxilla, endosteal implant (eg, blade, cylinder); complete",Yes,CareCore National,,Table_table_9.csv
Other Services,Outpatient Surgery,21248,"Reconstruction of mandible or maxilla, endosteal implant (eg, blade, cylinder); partial",Yes,CareCore National,,Table_table_9.csv
Other Services,Outpatient Surgery,21246,"Reconstruction of mandible or maxilla, subperiosteal implant; complete",Yes,CareCore National,,Table_table_9.csv
Other Services,Outpatient Surgery,21245,"Reconstruction of mandible or maxilla, subperiosteal implant; partial",Yes,CareCore National,,Table_table_9.csv
Other Services,Potentially Cosmetic,21244,"Reconstruction of mandible, extraoral, with transosteal bone plate (eg, mandibular staple bone plate)",Yes,CareCore National,,Table_table_9.csv
Other Services,Potentially Cosmetic,21196,"Reconstruction of mandibular rami and/or body, sagittal split; with internal rigid fixation",Yes,CareCore National,,Table_table_9.csv
Other Services,Potentially Cosmetic,21195,"Reconstruction of mandibular rami and/or body, sagittal split; without internal rigid fixation",Yes,CareCore National,,Table_table_9.csv
Other Services,Potentially Cosmetic,21194,"Reconstruction of mandibular rami, horizontal, vertical, C, or L osteotomy; with bone graft (includes obtaining graft)",Yes,CareCore National,,Table_table_9.csv
Other Services,Potentially Cosmetic,21193,"Reconstruction of mandibular rami, horizontal, vertical, C, or L osteotomy; without bone graft",Yes,CareCore National,,Table_table_9.csv
Other Services,Potentially Cosmetic,21172,"Reconstruction superior-lateral orbital rim and lower forehead, advancement or alteration, with or without grafts (includes
obtaining autografts)",Yes,CareCore National,,Table_table_9.csv
Other Services,Potentially Cosmetic,21180,"Reconstruction, entire or majority of forehead and/or supraorbital rims; with autograft (includes obtaining grafts)",Yes,CareCore National,,Table_table_9.csv
Other Services,Potentially Cosmetic,21179,"Reconstruction, entire or majority of forehead and/or supraorbital rims; with grafts (allograft or prosthetic material)",Yes,CareCore National,,Table_table_9.csv
Other Services,"Experimental /
Investigational",21743,"Reconstructive repair of pectus excavatum or carinatum; minimally invasive approach (Nuss procedure), with thoracoscopy",Yes,CareCore National,,Table_table_9.csv
Other Services,Potentially Cosmetic,21742,"Reconstructive repair of pectus excavatum or carinatum; minimally invasive approach (Nuss procedure), without
thoracoscopy",Yes,CareCore National,,Table_table_9.csv
Other Services,Potentially Cosmetic,21740,Reconstructive repair of pectus excavatum or carinatum; open,Yes,CareCore National,,Table_table_9.csv
Other Services,Potentially Cosmetic,21138,Reduction forehead; contouring and application of prosthetic material or bone graft (includes obtaining autograft),Yes,CareCore National,,Table_table_9.csv
Other Services,Potentially Cosmetic,21139,Reduction forehead; contouring and setback of anterior frontal sinus wall,Yes,CareCore National,,Table_table_9.csv
Other Services,Potentially Cosmetic,21137,Reduction forehead; contouring only,Yes,CareCore National,,Table_table_9.csv
Other Services,Potentially Cosmetic,19328,Removal of intact breast implant,Yes,CareCore National,,Table_table_9.csv
Other Services,Potentially Cosmetic,19330,"Removal of ruptured breast implant, including implant contents (eg, saline, silicone gel)",Yes,CareCore National,,Table_table_9.csv
Other Services,"Experimental /
Investigational",0959T,"Removal or replacement of magnet from coil assembly that is connected to continuous bilateral electroencephalography
monitoring system, including imaging guidance",Yes,CareCore National,,Table_table_9.csv
Other Services,"Experimental /
Investigational",46707,"Repair of anorectal fistula with plug (eg, porcine small intestine submucosa [SIS])",Yes,CareCore National,,Table_table_9.csv
Other Services,Potentially Cosmetic,67904,"Repair of blepharoptosis; (tarso) levator resection or advancement, external approach",Yes,CareCore National,,Table_table_9.csv
Other Services,Potentially Cosmetic,67903,"Repair of blepharoptosis; (tarso) levator resection or advancement, internal approach",Yes,CareCore National,,Table_table_9.csv
Other Services,Potentially Cosmetic,67908,"Repair of blepharoptosis; conjunctivo-tarso-Muller's muscle-levator resection (eg, Fasanella-Servat type)",Yes,CareCore National,,Table_table_9.csv
Other Services,Potentially Cosmetic,67902,Repair of blepharoptosis; frontalis muscle technique with autologous fascial sling (includes obtaining fascia),Yes,CareCore National,,Table_table_9.csv
Other Services,Potentially Cosmetic,67901,"Repair of blepharoptosis; frontalis muscle technique with suture or other material (eg, banked fascia)",Yes,CareCore National,,Table_table_9.csv
Other Services,Potentially Cosmetic,67906,Repair of blepharoptosis; superior rectus technique with fascial sling (includes obtaining fascia),Yes,CareCore National,,Table_table_9.csv
Other Services,Potentially Cosmetic,67900,"Repair of brow ptosis (supraciliary, mid-forehead or coronal approach)",Yes,CareCore National,,Table_table_9.csv
Other Services,"Experimental /
Investigational",30469,"Repair of nasal valve collapse with low energy, temperature-controlled (ie, radiofrequency) subcutaneous/submucosal
remodeling",Yes,CareCore National,,Table_table_9.csv
Other Services,"Experimental /
Investigational",30468,Repair of nasal valve collapse with subcutaneous/submucosal lateral wall implant(s),Yes,CareCore National,,Table_table_9.csv
Other Services,Potentially Cosmetic,30465,"Repair of nasal vestibular stenosis (eg, spreader grafting, lateral nasal wall reconstruction)",Yes,CareCore National,,Table_table_9.csv
Other Services,"Experimental /
Investigational",0960T,"Replacement of sub-scalp implanted electrode array, receiver, and telemetry unit with tunneling of electrode for continuous
bilateral electroencephalography monitoring system, including imaging guidance",Yes,CareCore National,,Table_table_9.csv
Other Services,"Experimental /
Investigational",Q4192,"Restorigin, 1 cc",Yes,CareCore National,,Table_table_9.csv
Other Services,Potentially Cosmetic,19370,"Revision of peri-implant capsule, breast, including capsulotomy, capsulorrhaphy, and/or partial capsulectomy",Yes,CareCore National,,Table_table_9.csv
Other Services,Potentially Cosmetic,19380,"Revision of reconstructed breast (eg, significant removal of tissue, re-advancement and/or re-inset of flaps in autologous
reconstruction or significant capsular revision combined with soft tissue excision in implant-based reconstruction)",Yes,CareCore National,,Table_table_9.csv
Other Services,"Experimental /
Investigational",0957T,"Revision of sub-scalp implanted electrode array, receiver, and telemetry unit for electrode, when required, including imaging
guidance",Yes,CareCore National,,Table_table_9.csv
